run,removed_count,retained_count,fit_max,fit_mean,heldout_max,heldout_mean,heldout_converged
out_strength,36,261,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,37,260,0.04152440332463055,0.037523184403533756,0.03955999658734356,0.03184826034259931,True
out_strength,38,259,0.048567818848728475,0.04113861067861419,0.042740101180954546,0.0346071740717391,True
out_strength,39,258,0.04934862947780136,0.04180509560494349,0.043038312038854123,0.0345590683267624,True
out_strength,40,257,0.049565446429700656,0.042333650626891595,0.042240330597798366,0.03597283044470487,True
out_strength,41,256,0.049946444806815635,0.039371335934011396,0.04140491008866699,0.03229011586912997,True
out_strength,42,255,0.0444940919196702,0.03659208005204973,0.039174139419104415,0.03091481311762656,True
out_strength,43,254,0.0428613661573893,0.0357990834991646,0.03834127601257569,0.030357341024079925,True
out_strength,44,253,0.042233602892230354,0.03486759444912186,0.03731151328369258,0.030138174010741803,True
out_strength,45,252,0.04643512429963874,0.038085314288186206,0.04005372834328324,0.03352346494657211,True
out_strength,46,251,0.049390995990958274,0.040549799626079526,0.04107739304250295,0.03576526023581636,True
random_42,0,297,0.0,0.0,0.0,0.0,True
random_42,1,296,0.03672299578585046,0.023014082687522582,0.03285320647591691,0.01838292416654591,True
random_42,2,295,0.03941168856795678,0.025863937708765394,0.04154521359240574,0.02117926191362532,True
random_42,3,294,0.03941168856795678,0.025863937708765394,0.04154521359240574,0.02117926191362532,True
random_42,4,293,0.03941168856795678,0.025863937708765394,0.04154521359240574,0.02117926191362532,True
random_42,5,292,0.04703772151569346,0.03171948165918106,0.049115375577890336,0.02583919534433284,True
random_42,6,291,0.04158185927004868,0.0325620409798831,0.04169761188239243,0.027581104742675,True
random_42,7,290,0.04158185927004868,0.0325620409798831,0.04169761188239243,0.027581104742675,True
random_42,8,289,0.04158185927004868,0.0325620409798831,0.04169761188239243,0.027581104742675,True
random_42,9,288,0.04848768546573558,0.03587660580146781,0.047811512628966275,0.03030848145548493,True
random_42,10,287,0.04848768546573558,0.03587660580146781,0.047811512628966275,0.03030848145548493,True
random_42,11,286,0.04848768546573558,0.03587660580146781,0.047811512628966275,0.03030848145548493,True
